year,state,population,male_population,female_population,annual_growth_rate_percent,literacy_rate_percent,urban_population_percent,rural_population_percent
2015,Himachal Pradesh,7064398,3604527,3459871,0.72,73.44,35.81,64.19
2016,Himachal Pradesh,7115249,3634280,3480969,0.72,90.7,51.79,48.21
2017,Himachal Pradesh,7166466,3648512,3517954,0.72,65.24,45.62,54.38
2018,Himachal Pradesh,7218052,3773526,3444526,0.72,91.14,25.47,74.53
2019,Himachal Pradesh,7270009,3716194,3553815,0.72,70.12,36.33,63.67
2020,Himachal Pradesh,7322340,3727435,3594905,0.72,77.81,18.21,81.79
2011,Jharkhand,32988134,17206712,15781422,1.78,93.36,39.58,60.42
2012,Jharkhand,33575266,17138432,16436834,1.78,78.54,51.68,48.32
2013,Jharkhand,34172848,17510068,16662780,1.78,65.07,51.7,48.3
2014,Jharkhand,34781065,18147404,16633661,1.78,70.59,18.06,81.94
2015,Jharkhand,35400108,18242057,17158051,1.78,89.52,19.77,80.23
2016,Jharkhand,36030169,18611286,17418883,1.78,67.02,50.71,49.29
2017,Jharkhand,36671444,18854623,17816821,1.78,78.32,51.86,48.14
2018,Jharkhand,37324132,19268882,18055250,1.78,71.05,51.55,48.45
2019,Jharkhand,37988437,19257091,18731346,1.78,67.85,22.03,77.97
2020,Jharkhand,38664566,19725275,18939291,1.78,69.3,19.12,80.88
2011,Karnataka,61095297,32014068,29081229,1.46,84.94,42.47,57.53
2012,Karnataka,61990047,32254791,29735256,1.46,86.64,42.94,57.06
2013,Karnataka,62897900,32634297,30263603,1.46,78.87,53.37,46.63
2014,Karnataka,63819049,33145642,30673407,1.46,77.92,45.72,54.28
2015,Karnataka,64753688,32933522,31820166,1.46,71.45,47.07,52.93
2016,Karnataka,65702015,33210458,32491557,1.46,85.59,48.89,51.11
2017,Karnataka,66664231,34792657,31871574,1.46,80.7,19.87,80.13
2018,Karnataka,67640539,34364162,33276377,1.46,81.12,34.62,65.38
2019,Karnataka,68631144,35270140,33361004,1.46,93.84,26.53,73.47
2020,Karnataka,69636257,35752460,33883797,1.46,72.85,24.88,75.12
2011,Kerala,33406061,17009500,16396561,1.35,88.52,37.31,62.69
2012,Kerala,33856542,17754862,16101680,1.35,89.44,42.54,57.46
2013,Kerala,34313098,17572796,16740302,1.35,77.29,44.89,55.11
2014,Kerala,34775811,17724853,17050958,1.35,69.65,45.79,54.21
2015,Kerala,35244763,18138262,17106501,1.35,92.14,36.88,63.12
2016,Kerala,35720039,18623434,17096605,1.35,84.35,18.39,81.61
2017,Kerala,36201724,18466650,17735074,1.35,74.51,24.57,75.43
2018,Kerala,36689905,18733834,17956071,1.35,73.97,38.75,61.25
2019,Kerala,37184669,18917163,18267506,1.35,65.1,30.53,69.47
2020,Kerala,37686105,19071054,18615051,1.35,93.38,44.11,55.89
2011,Madhya Pradesh,72626809,37495936,35130873,0.75,75.95,48.39,51.61
2012,Madhya Pradesh,73171511,36972039,36199472,0.75,86.91,28.09,71.91
2013,Madhya Pradesh,73720298,38010964,35709334,0.75,83.01,31.63,68.37
2014,Madhya Pradesh,74273201,38046398,36226803,0.75,66.18,27.05,72.95
2015,Madhya Pradesh,74830251,38230586,36599665,0.75,86.52,36.75,63.25
2016,Madhya Pradesh,75391479,39099383,36292096,0.75,69.09,37.18,62.82
2017,Madhya Pradesh,75956916,39509559,36447357,0.75,83.42,48.28,51.72
2018,Madhya Pradesh,76526594,38685210,37841384,0.75,76.73,39.7,60.3
2019,Madhya Pradesh,77100545,39773464,37327081,0.75,79.99,50.13,49.87
2020,Madhya Pradesh,77678800,39780846,37897954,0.75,91.06,33.61,66.39
2011,Maharashtra,112374333,58296560,54077773,1.67,73.14,44.78,55.22
2012,Maharashtra,114253254,59473322,54779932,1.67,75.56,27.06,72.94
2013,Maharashtra,116163590,60710869,55452721,1.67,90.16,37.15,62.85
2014,Maharashtra,118105868,62001480,56104388,1.67,73.35,31.15,68.85
2015,Maharashtra,120080621,61629565,58451056,1.67,68.56,27.75,72.25
2016,Maharashtra,122088392,63045346,59043046,1.67,91.06,23.15,76.85
2017,Maharashtra,124129734,64680711,59449023,1.67,81.48,43.84,56.16
2018,Maharashtra,126205207,64968612,61236595,1.67,91.92,46.33,53.67
2019,Maharashtra,128315383,65199411,63115972,1.67,83.82,26.46,73.54
2020,Maharashtra,130460841,68133972,62326869,1.67,79.86,23.55,76.45
2011,Manipur,2855794,1499174,1356620,0.86,93.97,29.53,70.47
2012,Manipur,2880378,1488522,1391856,0.86,66.07,19.22,80.78
2013,Manipur,2905175,1487327,1417848,0.86,86.13,52.42,47.58
2014,Manipur,2930184,1515471,1414713,0.86,87.54,41.93,58.07
2015,Manipur,2955409,1524780,1430629,0.86,68.06,18.75,81.25
2016,Manipur,2980851,1564034,1416817,0.86,85.41,47.56,52.44
2017,Manipur,3006512,1535190,1471322,0.86,83.63,35.02,64.98
2018,Manipur,3032394,1589966,1442428,0.86,88.95,51.45,48.55
2019,Manipur,3058499,1545724,1512775,0.86,66.78,48.3,51.7
2020,Manipur,3084828,1617894,1466934,0.86,66.83,44.97,55.03
2011,Meghalaya,2966889,1526187,1440702,1.24,82.68,19.68,80.32
2012,Meghalaya,3003813,1526846,1476967,1.24,66.94,41.04,58.96
2013,Meghalaya,3041197,1586235,1454962,1.24,84.12,18.65,81.35
2014,Meghalaya,3079045,1562837,1516208,1.24,65.09,23.21,76.79
2015,Meghalaya,3117365,1601429,1515936,1.24,78.34,18.41,81.59
2016,Meghalaya,3156162,1600379,1555783,1.24,91.61,27.67,72.33
2017,Meghalaya,3195441,1664472,1530969,1.24,88.05,22.4,77.6
2018,Meghalaya,3235210,1671639,1563571,1.24,89.03,32.49,67.51
2019,Meghalaya,3275473,1662756,1612717,1.24,67.76,37.91,62.09
2020,Meghalaya,3316238,1687183,1629055,1.24,74.42,32.99,67.01
2011,Mizoram,1097206,561800,535406,1.77,90.74,44.09,55.91
2012,Mizoram,1116594,582340,534254,1.77,91.9,32.67,67.33
2013,Mizoram,1136324,584972,551352,1.77,86.69,42.09,57.91
2014,Mizoram,1156403,599057,557346,1.77,77.0,52.58,47.42
2015,Mizoram,1176837,595808,581029,1.77,66.02,54.07,45.93
2016,Mizoram,1197632,623815,573817,1.77,73.99,23.48,76.52
2017,Mizoram,1218794,624649,594145,1.77,92.99,32.93,67.07
2018,Mizoram,1240330,643893,596437,1.77,71.95,53.72,46.28
2019,Mizoram,1262247,653938,608309,1.77,66.44,40.2,59.8
2020,Mizoram,1284551,658010,626541,1.77,85.94,38.31,61.69
2011,Nagaland,1978502,1016317,962185,1.47,78.43,46.79,53.21
2012,Nagaland,2007497,1036285,971212,1.47,89.01,30.36,69.64
2013,Nagaland,2036917,1052612,984305,1.47,81.89,53.89,46.11
2014,Nagaland,2066768,1081010,985758,1.47,65.02,19.46,80.54
2015,Nagaland,2097056,1087498,1009558,1.47,87.79,46.36,53.64
2016,Nagaland,2127789,1096386,1031403,1.47,71.97,45.05,54.95
2017,Nagaland,2158972,1106800,1052172,1.47,73.46,26.17,73.83
2018,Nagaland,2190611,1108080,1082531,1.47,88.21,22.96,77.04
2019,Nagaland,2222715,1123288,1099427,1.47,82.23,20.9,79.1
2020,Nagaland,2255289,1145133,1110156,1.47,76.36,27.17,72.83
2011,Odisha,41974218,21637696,20336522,0.89,78.39,43.09,56.91
2012,Odisha,42347101,21396646,20950455,0.89,80.32,52.67,47.33
2013,Odisha,42723296,21865370,20857926,0.89,66.22,29.57,70.43
2014,Odisha,43102833,22213428,20889405,0.89,87.64,32.24,67.76
2015,Odisha,43485742,22181504,21304238,0.89,70.48,21.0,79.0
2016,Odisha,43872053,22570954,21301099,0.89,71.86,30.5,69.5
2017,Odisha,44261795,23055488,21206307,0.89,87.01,31.7,68.3
2018,Odisha,44655000,23380119,21274881,0.89,69.58,30.23,69.77
2019,Odisha,45051698,23299554,21752144,0.89,92.07,38.27,61.73
2020,Odisha,45451920,22978381,22473539,0.89,91.51,42.25,57.75
2011,Punjab,27743338,14550353,13192985,0.78,80.16,18.6,81.4
2012,Punjab,27958549,14223014,13735535,0.78,67.58,32.69,67.31
2013,Punjab,28175429,14510871,13664558,0.78,65.18,50.4,49.6
2014,Punjab,28393992,14831031,13562961,0.78,75.79,34.99,65.01
2015,Punjab,28614250,14933728,13680522,0.78,93.81,37.76,62.24
2016,Punjab,28836216,15113848,13722368,0.78,72.82,26.96,73.04
2017,Punjab,29059905,14732737,14327168,0.78,74.54,49.16,50.84
2018,Punjab,29285328,15259865,14025463,0.78,66.8,44.95,55.05
2019,Punjab,29512501,15141353,14371148,0.78,90.21,52.67,47.33
2020,Punjab,29741435,15392406,14349029,0.78,76.23,40.94,59.06
2011,Rajasthan,68548437,35201426,33347011,1.02,84.25,37.61,62.39
2012,Rajasthan,69247072,36147854,33099218,1.02,86.28,23.44,76.56
2013,Rajasthan,69952827,36113995,33838832,1.02,85.95,20.85,79.15
2014,Rajasthan,70665775,36688325,33977450,1.02,71.62,50.38,49.62
2015,Rajasthan,71385989,36669199,34716790,1.02,72.01,30.11,69.89
2016,Rajasthan,72113544,36449977,35663567,1.02,73.07,41.37,58.63
2017,Rajasthan,72848514,38123324,34725190,1.02,78.06,21.23,78.77
2018,Rajasthan,73590974,38325904,35265070,1.02,66.65,22.34,77.66
2019,Rajasthan,74341002,37833211,36507791,1.02,82.89,44.49,55.51
2020,Rajasthan,75098674,38600037,36498637,1.02,77.47,36.86,63.14
2011,Sikkim,610577,308476,302101,1.62,79.06,23.3,76.7
2012,Sikkim,620491,317978,302513,1.62,81.4,47.27,52.73
2013,Sikkim,630565,330614,299951,1.62,88.93,22.68,77.32
2014,Sikkim,640804,335609,305195,1.62,74.95,47.07,52.93
2015,Sikkim,651208,340705,310503,1.62,85.75,46.69,53.31
2016,Sikkim,661781,341588,320193,1.62,78.35,52.82,47.18
2017,Sikkim,672526,348279,324247,1.62,70.73,41.51,58.49
2018,Sikkim,683446,345215,338231,1.62,82.8,32.17,67.83
2019,Sikkim,694543,350759,343784,1.62,91.71,54.06,45.94
2020,Sikkim,705820,358996,346824,1.62,80.66,23.97,76.03
2011,Tamil Nadu,72147030,36521785,35625245,1.17,79.63,37.9,62.1
2012,Tamil Nadu,72991558,37651241,35340317,1.17,89.38,23.22,76.78
2013,Tamil Nadu,73845973,37346718,36499255,1.17,88.1,54.12,45.88
2014,Tamil Nadu,74710388,38183179,36527209,1.17,71.19,29.45,70.55
2015,Tamil Nadu,75584923,38573997,37010926,1.17,71.14,43.6,56.4
2016,Tamil Nadu,76469694,39666773,36802921,1.17,85.18,18.68,81.32
2017,Tamil Nadu,77364822,40493779,36871043,1.17,93.86,29.94,70.06
2018,Tamil Nadu,78270428,39563426,38707002,1.17,88.05,41.52,58.48
2019,Tamil Nadu,79186635,40391797,38794838,1.17,76.96,37.51,62.49
2020,Tamil Nadu,80113567,40598332,39515235,1.17,72.64,46.85,53.15
2011,Telangana,35193978,17791929,17402049,0.75,65.66,40.39,59.61
2012,Telangana,35458578,18246188,17212390,0.75,83.98,26.75,73.25
2013,Telangana,35725167,18299470,17425697,0.75,85.15,34.6,65.4
2014,Telangana,35993760,18355520,17638240,0.75,66.78,25.59,74.41
2015,Telangana,36264372,18683643,17580729,0.75,72.46,46.76,53.24
2016,Telangana,36537020,18713944,17823076,0.75,87.54,54.6,45.4
2017,Telangana,36811717,18963746,17847971,0.75,82.73,40.59,59.41
2018,Telangana,37088479,18976448,18112031,0.75,75.14,30.28,69.72
2019,Telangana,37367322,18963602,18403720,0.75,84.32,32.17,67.83
2020,Telangana,37648261,19704165,17944096,0.75,83.8,24.97,75.03
2011,Tripura,3673917,1875058,1798859,0.8,74.35,38.15,61.85
2012,Tripura,3703279,1905267,1798012,0.8,67.94,32.28,67.72
2013,Tripura,3732875,1919361,1813514,0.8,75.97,19.74,80.26
2014,Tripura,3762708,1902450,1860258,0.8,69.12,46.96,53.04
2015,Tripura,3792779,1990696,1802083,0.8,81.85,22.87,77.13
2016,Tripura,3823091,1974626,1848465,0.8,86.04,40.52,59.48
2017,Tripura,3853645,2004535,1849110,0.8,73.64,41.15,58.85
2018,Tripura,3884443,2020108,1864335,0.8,88.75,49.18,50.82
2019,Tripura,3915487,2043622,1871865,0.8,76.19,31.98,68.02
2020,Tripura,3946779,2028533,1918246,0.8,73.03,49.97,50.03
2011,Uttar Pradesh,199812341,102213517,97598824,1.1,81.73,35.49,64.51
2012,Uttar Pradesh,202006148,105158578,96847570,1.1,81.04,35.67,64.33
2013,Uttar Pradesh,204224041,103140456,101083585,1.1,83.58,43.88,56.12
2014,Uttar Pradesh,206466286,105948426,100517860,1.1,80.21,31.51,68.49
2015,Uttar Pradesh,208733148,107243240,101489908,1.1,66.06,45.04,54.96
2016,Uttar Pradesh,211024900,110714006,100310894,1.1,74.49,29.77,70.23
2017,Uttar Pradesh,213341813,107841296,105500517,1.1,85.49,34.06,65.94
2018,Uttar Pradesh,215684164,110703172,104980992,1.1,93.9,54.09,45.91
2019,Uttar Pradesh,218052233,110946536,107105697,1.1,70.74,54.37,45.63
2020,Uttar Pradesh,220446302,115214283,105232019,1.1,83.22,34.99,65.01
2011,Uttarakhand,10086292,5129030,4957262,1.56,87.56,42.58,57.42
2012,Uttarakhand,10244050,5202252,5041798,1.56,69.37,53.86,46.14
2013,Uttarakhand,10404275,5408191,4996084,1.56,74.61,36.56,63.44
2014,Uttarakhand,10567006,5387453,5179553,1.56,65.69,23.23,76.77
2015,Uttarakhand,10732283,5528907,5203376,1.56,70.01,25.47,74.53
2016,Uttarakhand,10900144,5587831,5312313,1.56,81.7,33.23,66.77
2017,Uttarakhand,11070631,5753922,5316709,1.56,88.53,28.58,71.42
2018,Uttarakhand,11243785,5820902,5422883,1.56,75.4,20.91,79.09
2019,Uttarakhand,11419647,5942152,5477495,1.56,71.34,41.01,58.99
2020,Uttarakhand,11598259,5951540,5646719,1.56,70.38,31.74,68.26
2011,West Bengal,91276115,46876055,44400060,0.9,65.98,41.27,58.73
2012,West Bengal,92101370,46961526,45139844,0.9,83.29,50.59,49.41
2013,West Bengal,92934085,48317107,44616978,0.9,74.8,48.38,51.62
2014,West Bengal,93774330,47497835,46276495,0.9,73.96,19.26,80.74
2015,West Bengal,94622172,48778021,45844151,0.9,80.59,40.07,59.93
2016,West Bengal,95477679,48424284,47053395,0.9,85.64,29.19,70.81
2017,West Bengal,96340921,49202971,47137950,0.9,75.48,18.95,81.05
2018,West Bengal,97211968,49617425,47594543,0.9,68.86,53.31,46.69
2019,West Bengal,98090891,49786708,48304183,0.9,84.78,35.62,64.38
2020,West Bengal,98977760,49987019,48990741,0.9,89.61,35.53,64.47
